,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,PP Action,Description,,,,,,,,,,,,,,,,,,,,,,
,X7-3,PP22.02,Improving institutional governance to ensure all stakeholders are represented in decision-making,,,,,,,,,,,,,,,,,,,,,,
,X7-3,PP22.04,Improving institutional governance to promote equality and freedom from discrimination,,,,,,,,,,,,,,,,,,,,,,
,X7-3,PP20.04,Strengthening communities by decreasing people's fear for their personal safety,,,,,,,,,,,,,,,,,,,,,,
,X7-3.1,PP20.04,"Strengthening communities by decreasing people's fear for their personal safety, increasing equality in education",,,,,,,,,,,,,,,,,,,,,,
,X7-3.1,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, increasing education equality",,,,,,,,,,,,,,,,,,,,,,
,X7-3.1,PP22.04,Improving institutional governance to promote equality and freedom from discrimination in education,,,,,,,,,,,,,,,,,,,,,,
,X7-3.1,PP19.03,Upholding people's freedom from discrimination by increasing equality in education,,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.1,PP20.04,"Strengthening communities by decreasing people's fear for their personal safety, increasing equality in tertiary education",,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.1,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, increasing tertiary education equality",,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.1,PP22.04,Improving institutional governance to promote equality and freedom from discrimination in tertiary education,,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.1,PP19.03,Upholding people's freedom from discrimination by increasing equality in access to tertiary education,,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.2,PP20.04,"Strengthening communities by decreasing people's fear for their personal safety, building and upgrading inclusive education facilities",,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.2,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, facilitating building of inclusive education facilities",,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.2,PP22.04,Improving institutional governance to promote equality and freedom from discrimination via inclusive education facilities,,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.2,PP19.03,Upholding people's freedom from discrimination by improving the inclusiveness of education facilities,,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.2,PP17.01,Empowering people through access to education by improving the inclusiveness of education facilities,,,,,,,,,,,,,,,,,,,,,,
,X7-3.1.2,PP21.01,Aligning infrastructure with sustainability through improving the inclusiveness of education facilities,,,,,,,,,,,,,,,,,,,,,,
,X7-3.2,PP20.04,"Strengthening communities by decreasing people's fear for their personal safety, increasing equality in vocational training",,,,,,,,,,,,,,,,,,,,,,
,X7-3.2,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, increasing equality in vocational training",,,,,,,,,,,,,,,,,,,,,,
,X7-3.2,PP22.04,Improving institutional governance to promote equality and freedom from discrimination in vocational training,,,,,,,,,,,,,,,,,,,,,,
,X7-3.2,PP19.03,Upholding people's freedom from discrimination by increasing equality in vocational training,,,,,,,,,,,,,,,,,,,,,,
,X7-3.3,PP20.04,"Strengthening communities by decreasing people's fear for their personal safety, increasing equality in the workplace",,,,,,,,,,,,,,,,,,,,,,
,X7-3.3,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, increasing equality in the workplace",,,,,,,,,,,,,,,,,,,,,,
,X7-3.3,PP22.04,Improving institutional governance to promote equality and freedom from discrimination in the workplace,,,,,,,,,,,,,,,,,,,,,,
,X7-3.3,PP19.03,Upholding people's freedom from discrimination by increasing equality in the workplace,,,,,,,,,,,,,,,,,,,,,,
,X7-3.4,PP20.04,"Strengthening communities by decreasing people's fears over personal safety, increasing equality in leadership opportunities",,,,,,,,,,,,,,,,,,,,,,
,X7-3.4,PP22.04,Improving institutional governance to promote equality and freedom from discrimination in leadership opportunities,,,,,,,,,,,,,,,,,,,,,,
,X7-3.4,PP19.03,Upholding people's freedom from discrimination by increasing equality in leadership opportunities,,,,,,,,,,,,,,,,,,,,,,
,X7-3.4,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, increasing equality in leadership opportunities",,,,,,,,,,,,,,,,,,,,,,
,X7-3.5,PP20.04,"Strengthening communities by decreasing people's fears over personal safety, increasing equality in ownership rights",,,,,,,,,,,,,,,,,,,,,,
,X7-3.5,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, increasing equality in ownership rights",,,,,,,,,,,,,,,,,,,,,,
,X7-3.5,PP18.07,Increasing economic opportunity by establishing or protecting community rights to local resources,,,,,,,,,,,,,,,,,,,,,,
,X7-3.5,PP19.03,"Upholding people's freedom from discrimination by increasing equality in rights to resources, land and property",,,,,,,,,,,,,,,,,,,,,,
,X7-3.5,PP22.04,"Improving institutional governance to support equal rights to local resources, land & property",,,,,,,,,,,,,,,,,,,,,,
,X7-3.6,PP20.04,"Strengthening communities by decreasing people's fear for their personal safety, increasing equality in technology access",,,,,,,,,,,,,,,,,,,,,,
,X7-3.6,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, increasing equality in access to technology",,,,,,,,,,,,,,,,,,,,,,
,X7-3.6,PP22.04,Improving institutional governance to promote equality and freedom from discrimination in access to technology,,,,,,,,,,,,,,,,,,,,,,
,X7-3.6,PP19.03,Upholding people's freedom from discrimination by increasing equality in access to technology,,,,,,,,,,,,,,,,,,,,,,
,X7-3.7,PP20.04,"Strengthening communities by decreasing people's fear for their personal safety, increasing equality in reproductive rights",,,,,,,,,,,,,,,,,,,,,,
,X7-3.7,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, increasing equality in reproductive rights",,,,,,,,,,,,,,,,,,,,,,
,X7-3.7,PP22.04,Improving institutional governance to promote equality and freedom from discrimination in reproductive rights,,,,,,,,,,,,,,,,,,,,,,
,X7-3.7,PP19.03,Upholding people's freedom from discrimination by increasing equality in reproductive rights,,,,,,,,,,,,,,,,,,,,,,
,X7-3.8,PP20.04,Strengthening communities by promoting shared responsibility in the household and decreasing fear for personal safety,,,,,,,,,,,,,,,,,,,,,,
,X7-3.8,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, increasing equality in household responsibilities",,,,,,,,,,,,,,,,,,,,,,
,X7-3.8,PP22.04,Improving institutional governance to promote equality and shared responsibility within the household,,,,,,,,,,,,,,,,,,,,,,
,X7-3.8,PP19.03,Upholding people's freedom from discrimination by promoting shared responsibility within the household,,,,,,,,,,,,,,,,,,,,,,
,X7-3.9,PP20.04,Strengthening communities by creating infrastructure to support unpaid domestic work and decreasing fear for personal safety,,,,,,,,,,,,,,,,,,,,,,
,X7-3.9,PP22.02,"Improving institutional governance to increase stakeholder representation in decision-making, resulting in infrastructure that supports unpaid domestic work",,,,,,,,,,,,,,,,,,,,,,
,X7-3.9,PP22.04,Improving institutional governance to promote the creation of infrastructure that supports unpaid domestic work,,,,,,,,,,,,,,,,,,,,,,
,X7-3.9,PP19.03,Upholding people's freedom from discrimination by ensuring infrastructure systems support unpaid carers / domestic workers,,,,,,,,,,,,,,,,,,,,,,
,X7-3.9,PP21.03,Aligning infrastructure with sustainability by creating infrastructure that supports unpaid carers / domestic workers,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.1,PP20.08,Strengthening communities by increasing the availability of jobs for underserved people,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.1,PP18.01,Increasing economic opportunity by providing employment for underserved people,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.1,PP22.04,Improving institutional governance to support the creation of employment opportunities for underserved people,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.1.1,PP22.04,Improving institutional governance to support the creation of job opportunities in sustainable tourism for underserved people,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.1.1,PP18.01,Increasing economic opportunity by providing jobs in sustainable tourism for underserved people,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.1.1,PP20.08,Strengthening communities by increasing the availability of jobs in sustainable tourism for underserved people,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.1.2,PP20.08,Strengthening communities by increasing the availability of jobs for underserved people to combat animal poaching and trafficking,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.1.2,PP18.01,Increasing economic opportunity by creating jobs which combat poaching and trafficking of endangered species,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.2,PP18.02,Increasing economic opportunity by helping underserved people increase or stabilise the timing of their income,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.2.1,PP18.02,Increasing economic opportunity for people living on <$1.25 per day to help increase or stabilise the timing of their income,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.2.2,PP18.02,Increasing economic opportunity by helping agricultural workers increase or stabilise the timing of their income,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.3.1,PP18.03,Increasing economic opportunity by establishing or protecting workers' rights to fair working hours,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.3.2,PP18.04,Increasing economic opportunity by establishing or protecting workers' rights to collective bargaining / unionisation,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.3.3,PP18.05,Increasing economic opportunity by establishing or protecting workers' rights to social protection benefits,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.3.4,PP16.01,Keeping people healthy and safe from illness by improving workers' rights to safe working conditions,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.3.5,PP16.02,Keeping people healthy and safe by improving labour rights to prevent exploitation and abuse of workers,,,,,,,,,,,,,,,,,,,,,,
,X7-4.1.3.6,PP16.08,Keeping people healthy and safe by preventing instances of slavery and forced labour,,,,,,,,,,,,,,,,,,,,,,
,X7-4.2.1,PP17.05,Empowering people through access to financial services and banking,,,,,,,,,,,,,,,,,,,,,,
,X7-4.2.1,PP22.04,Improving institutional governance to support providing financial services to underserved people,,,,,,,,,,,,,,,,,,,,,,
,X7-4.2.1.1,PP17.05,Empowering food producers through access to financial services and banking,,,,,,,,,,,,,,,,,,,,,,
,X7-4.2.2,PP17.05,Empowering people through access to insurance,,,,,,,,,,,,,,,,,,,,,,
,X7-4.2.3,PP17.05,Empowering people through increased social protection measures,,,,,,,,,,,,,,,,,,,,,,
,X7-4.2.3,PP22.04,Improving institutional governance to support the provision of stronger social protection measures,,,,,,,,,,,,,,,,,,,,,,
,X7-4.3,PP22.03,Improving institutional governance by increasing their responsiveness to the alleviation of poverty,,,,,,,,,,,,,,,,,,,,,,
,X7-4.3.1,PP22.03,"Improving institutional governance by increasing their responsiveness to the alleviation of poverty, helping increase or stabilise people's income",,,,,,,,,,,,,,,,,,,,,,
,X7-4.3.1,PP18.02,Increasing economic opportunity by helping underserved people increase or stabilise the timing of their income,,,,,,,,,,,,,,,,,,,,,,
,X7-4.3.1.1,PP22.03,Improving the responsiveness of institutional governance to the alleviation of poverty for people living on >$1.25 per day,,,,,,,,,,,,,,,,,,,,,,
,X7-4.3.1.1,PP18.02,Increasing economic opportunity for people living on <$1.25 per day to help increase or stabilise the timing of their income,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1,PP16.01,Keeping people healthy and safe by treating or working to prevent physical or mental health issues,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.1,PP16.01,Keeping people healthy and safe by treating or working to prevent communicable diseases,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.2,PP16.01,Keeping people healthy and safe by treating or working to prevent non-communicable diseases,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.3,PP16.01,Keeping people healthy and safe by treating or working to prevent medical harm from hazardous chemicals and pollution,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.4,PP16.01,Keeping people healthy and safe by treating or working to prevent substance abuse,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.5,PP16.01,Keeping people healthy and safe by working to promote mental health and wellbeing,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.5,PP16.03,Keeping people healthy and safe by treating or working to prevent mental illnesses,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.6,PP16.01,Keeping people healthy and safe by treating or working to prevent maternal mortality,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.7,PP16.01,Keeping people healthy and safe by treating or working to prevent newborn and child mortality,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.8,PP16.01,Keeping people healthy and safe from illness by improving workers' rights to safe working conditions,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.1.9,PP16.01,Keeping people healthy and safe by developing medicines and vaccines,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.2,PP16.07,Keeping people healthy and safe by increasing access to healthcare services,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.2.1,PP16.07,Keeping people healthy and safe by increasing access to sexual and reproductive healthcare services,,,,,,,,,,,,,,,,,,,,,,
,X7-5.1.2.2,PP16.07,Keeping people healthy and safe by increasing access to medicines and vaccines,,,,,,,,,,,,,,,,,,,,,,
,X7-5.2.1.1,PP16.01,Keeping people healthy and safe by reducing road accidents and deaths,,,,,,,,,,,,,,,,,,,,,,
,X7-5.2.1.2,PP16.01,Keeping people healthy and safe by reducing deaths and injuries from physical disasters,,,,,,,,,,,,,,,,,,,,,,
,X7-5.2.1.3,PP16.01,Keeping people healthy and safe from injuries by improving workers' rights to safe working conditions,,,,,,,,,,,,,,,,,,,,,,
,X7-5.2.2,PP16.01,Keeping people healthy and safe by reducing instances of violence and terrorism,,,,,,,,,,,,,,,,,,,,,,
,X7-5.2.2,PP20.04,Strengthening communities and people's perceived safety by reducing violence and terrorism,,,,,,,,,,,,,,,,,,,,,,
,X7-5.3.1.1,PP16.05,Keeping people healthy and safe by providing them with access to drinking water,,,,,,,,,,,,,,,,,,,,,,
,X7-5.3.1.1,PP04.01,Increasing access to clean drinking water to underserved individuals,,,,,,,,,,,,,,,,,,,,,,
,X7-5.3.1.2,PP16.05,Keeping people healthy and safe by providing them with access to water for sanitation and hygiene,,,,,,,,,,,,,,,,,,,,,,
,X7-5.3.1.2,PP04.01,Increasing access to clean water for sanitation and hygiene to underserved individuals,,,,,,,,,,,,,,,,,,,,,,
,X7-5.3.2,PP16.04,Keeping people healthy and safe by increasing their access to nutritious food,,,,,,,,,,,,,,,,,,,,,,
,X7-5.3.3,PP16.06,Keeping people healthy and safe by increasing their access to adequate housing,,,,,,,,,,,,,,,,,,,,,,
,X7-5.4,PP16.02,Keeping people healthy and safe by preventing instances of exploitation and abuse,,,,,,,,,,,,,,,,,,,,,,
,X7-5.4.1,PP16.02,Keeping people healthy and safe by improving labour rights to prevent exploitation and abuse of workers,,,,,,,,,,,,,,,,,,,,,,
,X7-5.4.2,PP16.02,Keeping people healthy and safe by preventing instances of exploitation through slavery and forced labour,,,,,,,,,,,,,,,,,,,,,,
,X7-5.4.2,PP16.08,Keeping people healthy and safe by preventing instances of slavery and forced labour,,,,,,,,,,,,,,,,,,,,,,
,X7-5.4.3,PP16.02,Keeping people healthy and safe from instances of exploitation and abuse by preserving people's right to autonomy over their body,,,,,,,,,,,,,,,,,,,,,,
,X7-5.4.3,PP19.05,Upholding people's freedoms by ensuring their rights to autonomy over their bodies,,,,,,,,,,,,,,,,,,,,,,
,X7-6.1,PP20.01,Strengthening communities by breaking down language or cultural barriers,,,,,,,,,,,,,,,,,,,,,,
,X7-6.10,PP20.09,Strengthening communities by providing access to new or expanded community spaces for group activities,,,,,,,,,,,,,,,,,,,,,,
,X7-6.11,PP20.10,Strengthening communities by increasing the accessibility of community spaces,,,,,,,,,,,,,,,,,,,,,,
,X7-6.2,PP20.02,Strengthening communities by reducing prejudice and discriminatory behaviour,,,,,,,,,,,,,,,,,,,,,,
,X7-6.3,PP20.03,Strengthening communities by increasing community engagement in productive activities,,,,,,,,,,,,,,,,,,,,,,
,X7-6.4.1,PP20.04,Strengthening communities and people's perceived safety by reducing hate crimes and discrimination,,,,,,,,,,,,,,,,,,,,,,
,X7-6.4.2,PP20.04,Strengthening communities and people's perceived safety by reducing violence and terrorism,,,,,,,,,,,,,,,,,,,,,,
,X7-6.4.3,PP22.04,Improving institutional governance by increasing their capacity to prevent violence and terrorism,,,,,,,,,,,,,,,,,,,,,,
,X7-6.4.4,PP20.04,Strengthening communities and people's perceived safety through promoting the rule of law,,,,,,,,,,,,,,,,,,,,,,
,X7-6.5,PP20.05,Strengthening communities by increasing trust in institutions to improve civic participation,,,,,,,,,,,,,,,,,,,,,,
,X7-6.6,PP20.06,Strengthening communities by increasing affordability of social activities,,,,,,,,,,,,,,,,,,,,,,
,X7-6.7,PP20.07,Strengthening communities by increasing access to education for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-6.7,PP17.01,Empowering people through access to education,,,,,,,,,,,,,,,,,,,,,,
,X7-6.8,PP20.07,Strengthening communities by increasing access to vocational training for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-6.8,PP17.01,Empowering people through access to vocational training,,,,,,,,,,,,,,,,,,,,,,
,X7-6.9,PP20.08,Strengthening communities by increasing the availability of jobs for underserved people,,,,,,,,,,,,,,,,,,,,,,
,X7-6.9,PP18.01,Increasing economic opportunity by providing employment for underserved people,,,,,,,,,,,,,,,,,,,,,,
,X7-7.1,PP19.02,Upholding people's freedoms of opinion and expression,,,,,,,,,,,,,,,,,,,,,,
,X7-7.2,PP19.01,Upholding people's freedoms of beliefs and religion,,,,,,,,,,,,,,,,,,,,,,
,X7-7.3,PP19.04,Upholding people's freedoms of assembly,,,,,,,,,,,,,,,,,,,,,,
,X7-7.4,PP19.05,Upholding people's freedoms by ensuring their rights to autonomy over their bodies,,,,,,,,,,,,,,,,,,,,,,
,X7-7.5,PP19.06,Upholding people's right to privacy,,,,,,,,,,,,,,,,,,,,,,
,X7-7.6,PP22.04,Improving institutional governance to support the rule of law and justice,,,,,,,,,,,,,,,,,,,,,,
,X7-7.7,PP22.04,Improving institutional governance to support the right to a legal identity,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8,PP18.07,"Increasing economic opportunity by establishing people's right to own resources, land and property",,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.1,PP18.07,Increasing economic opportunity by establishing people's traditional or customary land rights,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.1,PP14.02,Protecting areas of social or cultural value by establishing people's traditional land rights,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.2,PP18.07,Increasing economic opportunity by returning people's traditional or customary land rights,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.2,PP15.02,Restoring areas of social or cultural value by returning land rights to traditional rights holders,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.3,PP18.07,Increasing economic opportunity by establishing or protecting community rights to local resources,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.3,PP19.03,"Upholding people's freedom from discrimination by increasing equality in rights to resources, land and property",,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.3,PP22.04,"Improving institutional governance to support equal rights to local resources, land & property",,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.4,PP18.07,Increasing economic opportunity for underserved people through establishing land rights for local food producers,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.5,PP18.07,Increasing economic opportunity by establishing community rights to local organisms with potential genetic value,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.5,PP14.02,Protecting areas of social or cultural value by establishing community rights to the genetic value of local organisms,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.6,PP18.07,Increasing economic opportunity by returning community rights to local organisms with potential genetic value,,,,,,,,,,,,,,,,,,,,,,
,X7-7.8.6,PP15.02,Restoring areas of social or cultural value by returning community rights to local organisms with potential genetic value,,,,,,,,,,,,,,,,,,,,,,
,X8-1.1,PP18.06,Increasing economic opportunity for underserved people by providing access to markets,,,,,,,,,,,,,,,,,,,,,,
,X8-1.1.1,PP18.06,Increasing economic opportunity for small scale food producers by providing access to markets,,,,,,,,,,,,,,,,,,,,,,
,X8-1.1.2,PP18.06,Increasing economic opportunity for artisanal fishermen by providing access to markets,,,,,,,,,,,,,,,,,,,,,,
,X8-1.2,PP23.02,Aligning markets with sustainability by creating and enforcing regulations to benefit society or the environment,,,,,,,,,,,,,,,,,,,,,,
,X8-1.2,PP22.04,Improving institutional governance by aligning regulations with sustainable social and environmental practices,,,,,,,,,,,,,,,,,,,,,,
,X8-1.2.1,PP23.02,Aligning markets with sustainability by creating and enforcing regulations on the sale of marine resources,,,,,,,,,,,,,,,,,,,,,,
,X8-1.2.1,PP22.04,Improving institutional governance by creating and enforcing regulations on the sale of marine resources,,,,,,,,,,,,,,,,,,,,,,
,X8-1.2.1.1,PP23.02,Aligning markets with sustainability by creating and enforcing regulations on overfishing,,,,,,,,,,,,,,,,,,,,,,
,X8-1.2.1.1,PP22.04,Improving institutional governance by creating and enforcing regulations on overfishing,,,,,,,,,,,,,,,,,,,,,,
,X8-1.2.1.1.1,PP23.02,Aligning markets with sustainability by removing subsidies which encourage overfishing,,,,,,,,,,,,,,,,,,,,,,
,X8-1.2.1.1.1,PP22.04,Improving institutional governance by removing subsidies which encourage overfishing,,,,,,,,,,,,,,,,,,,,,,
,X8-1.3,PP23.01,Aligning markets with sustainability by establishing incentives for behaviours that benefit society or the environment,,,,,,,,,,,,,,,,,,,,,,
,X8-1.3.1,PP23.01,Aligning markets with sustainability by establishing incentives for investment in development,,,,,,,,,,,,,,,,,,,,,,
,X8-1.3.2,PP23.01,Aligning markets with sustainability by establishing incentives for investment in forest conservation,,,,,,,,,,,,,,,,,,,,,,
,X8-1.4,PP23.01,Aligning markets with sustainability by removing economic incentives that are detrimental to society or the environment,,,,,,,,,,,,,,,,,,,,,,
,X8-1.4.1,PP23.01,Aligning markets with sustainability by removing agricultural incentives that are detrimental to society or the environment,,,,,,,,,,,,,,,,,,,,,,
,X8-1.4.2,PP23.01,Aligning economic incentives with sustainability by removing or reducing fossil fuel subsidies,,,,,,,,,,,,,,,,,,,,,,
,X8-1.5,PP23.04,Aligning markets with sustainability by providing markets with information needed for informed purchase decisions,,,,,,,,,,,,,,,,,,,,,,
,X8-1.5.1,PP23.04,Aligning markets with sustainability by providing markets with information needed for informed food purchase decisions,,,,,,,,,,,,,,,,,,,,,,
,X8-1.5.2,PP23.04,Aligning markets with sustainability by enabling the integration of sustainability performance into corporate annual reports,,,,,,,,,,,,,,,,,,,,,,
,X8-1.6,PP23.03,Aligning markets with sustainability by establishing voluntary agreements which benefit society or the environment,,,,,,,,,,,,,,,,,,,,,,
,X8-1.6.1,PP23.03,Aligning markets with sustainability by establishing voluntary agreements encouraging reporting on sustainability performance,,,,,,,,,,,,,,,,,,,,,,
,X8-2.1,PP22.02,Improving institutional governance by promoting greater or more equal participation in decisions,,,,,,,,,,,,,,,,,,,,,,
,X8-2.1.1,PP22.02,Improving institutional governance by increasing the participation of developing countries in global governance,,,,,,,,,,,,,,,,,,,,,,
,X8-2.2,PP22.01,Improving institutional governance by increasing their accountability for the actions they take,,,,,,,,,,,,,,,,,,,,,,
,X8-2.3,PP22.03,Improving institutional governance by increasing their responsiveness to society's changing needs,,,,,,,,,,,,,,,,,,,,,,
,X8-2.3.1,PP22.03,Improving institutional governance by increasing their responsiveness to demands posed by climate change ,,,,,,,,,,,,,,,,,,,,,,
,X8-2.3.2,PP22.03,Improving institutional governance by increasing their responsiveness to the alleviation of poverty,,,,,,,,,,,,,,,,,,,,,,
,X8-2.4,PP22.04,Improving institutional governance to support the safeguarding human rights and the environment,,,,,,,,,,,,,,,,,,,,,,
,X8-2.5,PP22.05,Improving institutional governance by increasing the transparency of their decision-making,,,,,,,,,,,,,,,,,,,,,,
,X8-2.6,PP22.01,Improving institutional governance by reducing instances of bribery and corruption,,,,,,,,,,,,,,,,,,,,,,
